codigo_producto,item_nombre,frecuencia_venta,promedio_diario,unidades_totales,precio_carta,costos,q_insumos,margen,categoria
2000064,LIMONADA FROZEN JARRA,0.968,3.742,116,20.0,2.5066098046,5.0,17.4933901954,BEBIDA_COMPARTIR_NO_ALC
2000065,LIMONADA FROZEN VASO,0.387,0.484,15,11.0,1.4738074023,5.0,9.5261925977,BEBIDA_INDIVIDUAL_NO_ALC
2000066,LIMONADA ELÉCTRICA JARRA,0.71,1.226,38,21.0,3.3963484712666667,5.0,17.603651528733334,BEBIDA_COMPARTIR_NO_ALC
2000068,LIMONADA DE MENTA JARRA,0.806,1.677,52,21.0,3.3569151379333335,5.0,17.643084862066665,BEBIDA_COMPARTIR_NO_ALC
2000069,LIMONADA DE MENTA VASO,0.484,0.677,21,11.0,1.1993274023,5.0,9.8006725977,BEBIDA_INDIVIDUAL_NO_ALC
2000070,LIMONADA DE HIERBA BUENA JARRA,1.0,6.419,199,21.0,2.4542818046,5.0,18.5457181954,BEBIDA_COMPARTIR_NO_ALC
2000071,LIMONADA DE HIERBA BUENA VASO,0.581,1.0,31,11.0,0.9736074023,5.0,10.0263925977,BEBIDA_INDIVIDUAL_NO_ALC
2000074,CHICHA MORADA JARRA,1.0,16.0,496,19.0,2.2197,2.0,16.7803,BEBIDA_COMPARTIR_NO_ALC
2000075,CHICHA MORADA VASO,0.774,1.774,55,10.0,1.2048,2.0,8.7952,BEBIDA_INDIVIDUAL_NO_ALC
2000076,MARACUYÁ JARRA,1.0,12.968,402,19.0,2.7697,2.0,16.2303,BEBIDA_COMPARTIR_NO_ALC
2000077,MARACUYÁ VASO,0.742,1.355,42,10.0,1.4798,2.0,8.520199999999999,BEBIDA_INDIVIDUAL_NO_ALC
2000078,INCA KOLA 2.25 LT,0.935,3.323,103,20.0,8.1,1.0,11.9,BEBIDA_COMPARTIR_NO_ALC
2000079,INCA KOLA 1 LT,0.968,5.71,177,10.0,3.49,1.0,6.51,BEBIDA_COMPARTIR_NO_ALC
2000080,INCA KOLA 500 ML,0.935,2.806,87,6.0,2.61,1.0,3.39,BEBIDA_COMPARTIR_NO_ALC
2000081,INCA KOLA 296 ML,0.935,2.806,87,4.0,1.24,1.0,2.76,BEBIDA_INDIVIDUAL_NO_ALC
2000082,COCA COLA 2.25 LT,0.935,3.484,108,20.0,8.24,1.0,11.76,BEBIDA_COMPARTIR_NO_ALC
2000083,COCA COLA 1 LT,1.0,6.645,206,10.0,3.46,1.0,6.54,BEBIDA_COMPARTIR_NO_ALC
2000084,COCA COLA 500 ML,1.0,5.0,155,6.0,2.61,1.0,3.39,BEBIDA_COMPARTIR_NO_ALC
1000018,LINGUINI SALSA CHAMP C/CUADRIL,0.065,0.065,2,53.0,20.374531853721518,15.0,32.62546814627848,PLATO_FONDO_INDIVIDUAL
1000021,LINGUINI SALSA 3 QUESOS C/CUADRIL,0.097,0.097,3,53.0,18.408858436,15.0,34.591141564,PLATO_FONDO_INDIVIDUAL
1000024,RIGATONI SALSA PIC VIKIN C/CUADRIL,0.097,0.097,3,53.0,19.791294436,20.0,33.208705564,PLATO_FONDO_INDIVIDUAL
1000091,BIFE ANCHO URUGUAYO,0.065,0.129,4,90.0,25.6858516728,9.0,64.3141483272,PLATO_FONDO_INDIVIDUAL
1000094,PEPPER STEAK,0.065,0.065,2,62.0,15.1964846,10.0,46.8035154,PLATO_FONDO_INDIVIDUAL
1000098,ALITAS TERIYAKI,0.065,0.065,2,35.0,10.3561608,5.0,24.643839200000002,NIÑOS
1000110,ASADO DE TIRA 500GR AMERICANO,0.065,0.065,2,148.0,60.4658516728,9.0,87.5341483272,PLATO_FONDO_INDIVIDUAL
2000002,AZOTE VIKINGO,0.097,0.097,3,26.0,3.3070428895666666,6.0,22.692957110433333,BEBIDA_INDIVIDUAL_ALC
2000008,PISCO SOUR DE FINAS HIERBAS,0.065,0.065,2,23.0,2.4459965877,6.0,20.5540034123,BEBIDA_INDIVIDUAL_ALC
